DHID,Drill_Type,x,y,z
DH_140,RC,349.59700000000885,749.945000000298,9.550000000000011
DH_141,RC,549.3520000000135,1050.0590000003576,12.032000000000039
DH_142,RC,999.8510000000242,1349.9900000002235,18.02600000000001
DH_143,RC,299.3850000000093,750.1790000004694,10.61099999999999
DH_144,RC,499.59600000001956,1050.0930000003427,12.461999999999989
DH_145,RC,905.5450000000419,1350.1840000003576,18.70300000000003
DH_146,RC,1097.274000000034,1449.7340000001714,19.807000000000016
DH_147,RC,804.7760000000126,1350.0149999996647,17.045999999999992
DH_148,RC,894.3250000000116,1449.8660000003874,18.711000000000013
DH_149,RC,794.2050000000163,1449.9840000001714,19.561000000000035
DH_150,RC,704.64300000004,1349.9009999996051,16.258000000000038
DH_151,RC,449.56200000003446,1050.027999999933,14.023000000000025
DH_152,RC,603.2160000000149,1350.251000000164,15.550000000000011
DH_153,RC,594.2289999999921,1450.0439999997616,15.927999999999997
DH_154,RC,836.390000000014,649.980000000447,9.185000000000002
DH_155,RC,499.6370000000461,1350.0400000000373,15.550000000000011
DH_156,RC,899.9569999999949,549.9060000004247,9.782000000000039
DH_157,RC,479.2840000000433,649.964999999851,7.9150000000000205
DH_158,RC,340.2170000000042,653.8169999998063,8.487000000000023
DH_159,RC,949.7750000000233,549.9069999996573,10.300999999999988
DH_160,RC,449.75800000003073,1350.091000000015,16.104000000000042
DH_161,RC,999.6540000000386,549.9280000003055,10.13900000000001
DH_162,RC,849.75900000002,550.0690000001341,9.632000000000005
DH_163,RC,319.1510000000126,650.0169999999925,8.90100000000001
DH_164,RC,919.6380000000354,449.9069999996573,8.520000000000039
DH_165,RC,689.3940000000293,750.5300000002608,10.091000000000008
DH_166,RC,969.7320000000182,449.95999999996275,8.600000000000023
DH_167,RC,751.2160000000149,550.0250000003725,7.5049999999999955
DH_168,RC,871.7030000000377,449.95899999979883,8.689999999999998
DH_169,RC,617.7779999999912,650.00800000038,7.843000000000018
DH_170,RC,981.4500000000116,350.0259999996051,8.31800000000004
