Easting,Northing,Elevation,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
480.3525392,6979.137583,0.5,720,1.18,59.1,3.3,20,118.5,0.5,0.38,0.1,0.3,31.3,8.5,29.1,3.92,64.45,7.95,3.4,0.1,0.02,30,0.06,0.05,15.2,24,0.43,178,7.33,0.004,0.31,31.2,0.111,26.86,10,3,7.4,2,0.35,3.47,4.4,4.8,0.2,,0.05,0.07,8.5,0.01,0.18,5.4,35,0.2,7.37,161.6,0.9
477.9214073,6978.753455,0.5,753,0.78,88.5,4.9,20,81.1,0.3,0.39,0.01,0.04,22.8,1.8,26.8,1.9,79.44,16.73,3.2,0.1,0.03,33,0.04,0.02,12.2,15.7,0.26,79,6.17,0.002,0.11,8.8,0.1,15.43,10,2,2.9,1,0.48,4.97,2.5,8.6,0.1,,0.05,0.15,7.6,0.005,0.23,1.6,39,0.3,2.22,125.1,2
475.4429227,6981.38507,0.5,500,0.68,73.1,2.7,20,50.4,0.4,0.33,0.01,0.12,21.3,1.5,21.8,1.82,48.83,12.81,3.2,0.1,0.03,28,0.05,0.02,11,11.5,0.21,61,7.71,0.003,0.1,8.5,0.08,15.13,10,2,3.1,2,0.52,4.95,2,7.2,0.1,,0.05,0.11,7.2,0.006,0.18,1.7,41,0.2,1.81,118.5,2.1
472.1940622,6982.118224,0.5,1565,0.68,46.1,3.2,20,72.3,0.2,0.27,0.01,0.07,27.1,1.5,28.9,1.61,46.7,19.45,3,0.1,0.05,28,0.06,0.02,14.2,13.5,0.22,67,5.77,0.003,0.1,8.1,0.086,10.46,10,2,2.2,1,1.32,3.58,1.9,6,0.1,,0.05,0.11,8.4,0.004,0.09,1.5,48,0.3,2.52,81.6,2.9
467.9897667,6982.93752,0.5,696,1.6,33.1,3,20,127.3,0.9,0.35,0.09,0.11,30.6,8.7,33.1,4.95,58.14,13.83,4.5,0.1,0.06,30,0.06,0.09,14.9,36.5,0.55,284,6.75,0.008,0.35,28.6,0.088,20.32,10,2,14.4,2,0.89,1.27,3.3,3.3,0.4,,0.05,0.03,13.7,0.023,0.22,4.4,37,6.9,7.07,107.1,3.3
469.1112308,6956.566268,0.5,330,0.96,106.5,2,20,52.1,0.3,0.19,0.06,2.68,16.2,5.7,11.9,2.28,18.29,34.41,1.8,0.2,0.06,76,0.02,0.04,8.5,11.1,0.15,65,6.92,0.002,0.24,48.9,0.101,8.27,10,2,6.3,2,0.27,4.58,1.6,10.5,0.1,,0.05,0.04,2.5,0.005,0.1,1.1,102,0.2,7.4,208.6,3.3
469.0395634,6955.063341,0.5,744,5.84,17.5,1.9,20,416.4,2.5,0.14,0.09,4.26,8.9,141.1,15.3,1.82,89.8,2.95,1.6,0.1,0.08,197,0.02,0.07,4.8,20.2,0.18,4307,6.5,0.001,0.1,134.2,0.145,15.69,10,2,4.7,4,0.68,2.74,2.2,8,0.1,,0.05,0.09,2.1,0.003,0.45,4.1,28,0.1,40,456.4,3.8
469.2944016,6954.310997,0.5,651,0.75,10.7,2.2,20,32.4,0.2,0.08,0.01,0.35,7.7,4.2,36.6,2.01,58.94,31.64,1,0.1,0.04,83,0.02,0.03,2.4,3.5,0.04,140,5.81,0.001,0.14,14,0.2,10.34,10,2,3.3,1,1.92,2.79,2.8,3.3,0.1,,0.05,0.04,2.3,0.003,0.14,3,68,0.1,4.77,82.9,2.8
471.0172793,6955.557656,0.5,227,0.09,5.6,1.2,20,21.4,0.1,0.03,0.01,0.08,1.4,0.8,4,0.41,21.07,41,0.5,0.2,0.03,31,0.02,0.02,0.7,1.1,0.02,24,0.75,0.002,0.08,3.3,0.07,1.87,10,2,1.6,1,3.21,1.03,0.5,2.3,0.1,,0.05,0.02,0.8,0.001,0.03,0.1,5,0.2,0.93,37.9,2.2
471.0923647,6955.602567,0.5,566,0.97,31.5,2.1,20,114.6,0.3,0.17,0.02,0.51,9.3,9.6,31.3,2.65,57.44,17.67,2.6,0.1,0.06,123,0.04,0.04,3.8,14.5,0.2,264,7.78,0.002,0.09,27.5,0.224,17.23,10,2,4.6,4,1.04,3.2,3.9,4.5,0.1,,0.05,0.04,4.4,0.003,0.24,4.1,80,0.1,7.36,114.9,2.4
471.5947714,6953.207505,0.5,532,0.34,56.8,0.7,20,8.2,0.3,0.02,0.01,0.39,1.2,1.5,89.5,0.42,40.06,39.92,1.6,0.2,0.04,23,0.04,0.01,0.5,1.9,0.02,52,4.49,0.001,0.07,7.9,0.867,3.28,10,2,1,1,3.19,2.48,1.7,1.9,0.2,,0.05,0.03,1.1,0.004,0.02,4.9,318,0.1,4.36,54.5,1.7
475.849806,6953.539272,0.5,2076,5.93,19.8,1.1,20,131,7.7,0.17,0.06,9.36,14.8,71.4,13.3,2.39,267.18,3.11,1.4,0.1,0.13,189,0.04,0.05,5.9,12.4,0.11,1783,10.08,0.001,0.06,113,0.097,18.29,10,2,5.8,4,0.93,3.54,4.3,4.9,0.1,,0.05,0.1,2.8,0.002,0.55,21.7,23,0.1,37.53,793.6,5.1
476.3946829,6955.2664,0.5,548,0.96,20.5,1.4,20,96.4,0.4,0.2,0.03,0.81,8.1,14.5,32.8,2.53,60.7,10.2,2.6,0.1,0.03,137,0.06,0.04,3.6,17.3,0.27,340,6.38,0.002,0.08,40,0.124,17.38,10,2,5.9,3,0.47,2.18,4.6,3.7,0.1,,0.05,0.03,3.4,0.002,0.24,3.9,44,0.1,8.91,179,1.2
