X,Y,Z,THICKNESS
-4008.0,36914.0,0.5,2.28
-5390.0,36814.0,0.5,3.0
-5322.0,37305.0,0.5,3.07
-3310.0,36420.0,0.5,3.15
-5090.0,36665.0,0.5,2.68
-4539.0,34362.0,0.5,2.85
-4962.0,33660.0,0.5,2.62
-4856.0,37446.0,0.5,3.05
-5158.0,36493.0,0.5,3.02
-6166.0,37580.0,0.5,3.04
-5771.0,36889.0,0.5,3.36
-4403.0,35003.0,0.5,2.82
-5983.0,37437.0,0.5,2.93
-4121.0,37000.0,0.5,2.99
-5053.0,36486.0,0.5,2.91
-4972.0,37500.0,0.5,3.15
-6110.0,37550.0,0.5,3.29
-6028.0,36845.0,0.5,2.7
-4524.0,35260.0,0.5,3.0
-5560.0,33940.0,0.5,2.89
-4092.0,36824.0,0.5,2.47
-5859.0,37394.0,0.5,3.13
-4401.0,36645.0,0.5,2.76
-5149.0,36275.0,0.5,3.03
-3091.0,34328.0,0.5,2.6
-5728.0,36585.0,0.5,3.12
-4628.0,35100.0,0.5,2.88
-3170.0,36120.0,0.5,2.72
-5940.0,37391.0,0.5,2.97
-3856.0,34326.0,0.5,2.48
-3355.0,35631.0,0.5,2.44
-5707.0,36491.0,0.5,2.88
-5628.0,36167.0,0.5,3.34
-6015.0,37529.0,0.5,3.19
-4771.0,36436.0,0.5,3.31
-4329.0,33715.0,0.5,2.97
-3367.0,34751.0,0.5,2.06
-4978.0,36927.0,0.5,2.94
-6096.0,36535.0,0.5,3.06
-4673.0,35870.0,0.5,3.1
-3321.0,34378.0,0.5,2.62
-6166.0,36467.0,0.5,3.12
-4163.0,35210.0,0.5,3.22
-3104.0,35148.0,0.5,2.51
-5810.0,36604.0,0.5,3.21
-3850.0,35585.0,0.5,2.96
-5743.0,36676.0,0.5,3.36
-6080.0,37410.0,0.5,3.29
-5358.0,34647.0,0.5,2.9
-6209.0,34004.0,0.5,2.67
-4848.0,37152.0,0.5,2.92
-6220.0,35648.0,0.5,3.1
-3152.0,35400.0,0.5,2.66
-5505.0,36640.0,0.5,3.05
-4782.0,36733.0,0.5,3.31
-5355.0,36479.0,0.5,3.02
-5101.0,36690.0,0.5,2.99
-3711.0,36868.0,0.5,2.38
-3060.0,36330.0,0.5,2.17
-4099.0,33434.0,0.5,2.86
-3016.0,34824.0,0.5,2.75
-5692.0,36637.0,0.5,3.24
-4303.0,35186.0,0.5,3.08
-3879.0,33837.0,0.5,2.77
-3206.0,34132.0,0.5,2.64
-4768.0,34393.0,0.5,3.05
-3010.0,37399.0,0.5,2.28
-5351.0,34004.0,0.5,2.9
-5720.0,36303.0,0.5,3.06
-5252.0,36575.0,0.5,3.07
-5514.0,37699.0,0.5,3.13
-5039.0,36585.0,0.5,3.03
-4838.0,36467.02,0.5,3.17
-3842.0,33385.0,0.5,2.94
-3194.0,35181.0,0.5,2.37
-5471.0,36477.0,0.5,2.89
-3406.0,36069.0,0.5,2.56
-5510.0,36493.0,0.5,3.0
-4639.0,33297.0,0.5,2.66
-4479.0,36970.0,0.5,3.34
-5636.0,36383.0,0.5,2.81
-6113.0,36842.0,0.5,3.01
-5256.0,36455.0,0.5,2.79
-5129.0,36438.0,0.5,3.13
-5100.0,37430.0,0.5,2.86
-2999.0,36673.0,0.5,2.62
-3582.0,35171.0,0.5,2.7
-5306.0,37056.0,0.5,2.92
-5895.0,37520.0,0.5,3.06
-4773.0,37512.0,0.5,3.15
-3385.0,36715.0,0.5,2.61
