DHID,SampleID,X,Y,Z,True,Estimate
DDH-0010,151,661.40746,12320.399,1207.796,3.92027,1.1765812
DDH-0010,152,661.45188,12325.141,1209.3826,6.4292,0.85803678
DDH-0010,153,661.49574,12329.882,1210.9683,1.22525,0.58912323
DDH-0010,154,661.53368,12333.984,1212.3399,1.77597,0.44770458
DDH-0011,155,1105.9492,12242.374,1003.536,1.79734,3.188712
DDH-0011,156,1105.9158,12246.24,1000.3645,2.47055,2.9869592
DDH-0011,157,1105.891,12250.095,997.18076,4.14364,2.8252573
DDH-0011,158,1105.8753,12253.94,993.98478,0.76894,2.433323
DDH-0011,159,1105.8574,12257.776,990.77731,1.24105,2.1082171
DDH-0011,160,1105.8326,12261.602,987.55869,1.55365,1.8227737
DDH-0011,161,1105.8033,12265.415,984.32485,1.20255,1.5261831
DDH-0011,162,1105.7738,12269.209,981.06848,0.71581,1.2502953
DDH-0012,163,701.84142,12244.718,1134.3467,0.6688,2.3445279
DDH-0012,164,701.81894,12249.342,1132.4442,5.25292,2.5344944
DDH-0012,165,701.79624,12253.968,1130.5458,4.06508,2.5891882
DDH-0012,166,701.77276,12258.588,1128.6352,2.67689,2.7001316
DDH-0012,167,701.74841,12263.203,1126.7097,2.93997,2.7278516
DDH-0012,168,701.7232,12267.811,1124.7693,7.12732,2.8041435
DDH-0012,169,701.69712,12272.413,1122.814,5.53542,2.8752801
DDH-0012,170,701.67016,12277.008,1120.8439,4.90719,2.7640423
DDH-0012,171,701.64235,12281.597,1118.859,3.47906,2.6092384
DDH-0012,172,701.61366,12286.18,1116.8593,6.39848,2.2173374
DDH-0012,173,701.5843,12290.757,1114.8472,9.17114,2.0783617
DDH-0012,174,701.55537,12295.335,1112.8378,8.86696,1.7512414
DDH-0012,175,701.52707,12299.916,1110.8335,10.73421,1.5455542
DDH-0012,176,701.4994,12304.499,1108.8343,5.29773,1.3405665
DDH-0012,177,701.47235,12309.084,1106.8402,2.4269,1.1392007
DDH-0012,178,701.44585,12313.671,1104.8507,0.68615,0.9434695
DDH-0012,179,701.41943,12318.258,1102.8617,0.2494,0.75647789
DDH-0012,180,701.39301,12322.845,1100.8728,0.06683,0.581567
DDH-0012,181,701.37634,12325.74,1099.6177,0.0235,0.43078553
DDH-0013,182,973.69823,12326.933,1178.408,0.5856,2.9994804
DDH-0013,183,973.67081,12328.947,1173.8318,3.10265,2.7742912
DDH-0013,184,973.64338,12330.961,1169.2556,1.94142,2.6792834
DDH-0013,185,973.61596,12332.976,1164.6794,1.50694,2.5015627
DDH-0013,186,973.58853,12334.99,1160.1032,0.78798,2.4073851
DDH-0013,187,973.56111,12337.004,1155.527,2.2486,2.6540805
DDH-0013,188,973.53368,12339.019,1150.9507,0.58075,2.2582661
DDH-0013,189,973.50626,12341.033,1146.3745,0.26623,2.0886714
DDH-0013,190,973.47884,12343.048,1141.7983,1.46182,2.0537171
DDH-0013,191,973.45141,12345.062,1137.2221,1.18341,1.8839676
DDH-0013,192,973.42399,12347.076,1132.6459,1.27771,1.7493039
