DHID,SampleID,X,Y,Z,True,Estimate
DDH-0019,247,1107.0794,12255.003,1026.6339,1,0.74475272
DDH-0019,248,1107.3262,12259.526,1024.5173,1,0.67188357
DDH-0019,249,1107.5615,12264.034,1022.3678,1,0.49400742
DDH-0019,250,1107.7904,12268.536,1020.2049,0,0.49751866
DDH-0019,251,1108.0129,12273.032,1018.0287,0,0.29388309
DDH-0019,252,1108.2294,12277.522,1015.8395,0,0.17755366
DDH-0019,253,1108.4433,12282.007,1013.6395,0,0.11660576
DDH-0020,254,1028.1026,12280.112,1075.0056,1,0.65054247
DDH-0020,255,1028.4141,12282.307,1070.5239,1,0.61524421
DDH-0020,256,1028.7265,12284.501,1066.0419,0,0.82103648
DDH-0020,257,1029.0398,12286.694,1061.5594,1,0.50694711
DDH-0020,258,1029.3537,12288.886,1057.0765,1,0.40002698
DDH-0020,259,1029.6677,12291.078,1052.5937,0,0.49597751
DDH-0020,260,1029.9816,12293.27,1048.1109,0,0.38244652
DDH-0021,261,782.60959,12320.537,1207.0667,0,0.44227581
DDH-0021,262,782.59562,12325.537,1207.1059,1,0.055394427
DDH-0021,263,782.58166,12330.537,1207.1452,0,0.24670364
DDH-0021,264,782.5677,12335.537,1207.1845,0,0.12415274
DDH-0021,265,782.55374,12340.537,1207.2238,0,0.055192298
DDH-0021,266,782.54024,12345.371,1207.2617,0,0.003839177
DDH-0022,267,899.6157,12257.974,1112.5047,0,0.81712528
DDH-0022,268,899.5772,12259.818,1107.8572,1,0.52283443
DDH-0022,269,899.52462,12261.649,1103.2049,1,0.61556232
DDH-0022,270,899.45678,12263.465,1098.5471,1,0.5975526
DDH-0022,271,899.37369,12265.268,1093.8839,0,0.80924276
DDH-0022,272,899.27534,12267.055,1089.2155,1,0.5395396
DDH-0022,273,899.16174,12268.828,1084.5418,0,0.8393058
DDH-0022,274,899.03289,12270.587,1079.863,1,0.66907264
DDH-0022,275,898.88879,12272.331,1075.1791,1,0.75188749
DDH-0022,276,898.72922,12274.06,1070.4904,1,0.75133203
DDH-0022,277,898.54491,12275.781,1065.7996,1,0.66991938
DDH-0022,278,898.33107,12277.497,1061.1081,1,0.48116665
DDH-0022,279,898.08771,12279.208,1056.4163,0,0.48308594
DDH-0022,280,897.81483,12280.913,1051.7241,0,0.28202565
DDH-0022,281,897.51244,12282.614,1047.0319,0,0.16286902
DDH-0022,282,897.18056,12284.309,1042.3398,0,0.095770882
DDH-0022,283,896.82133,12285.999,1037.6479,0,0.058348351
DDH-0022,284,896.45642,12287.688,1032.956,0,0.041899296
DDH-0022,285,896.09444,12289.364,1028.3017,0,0.043189731
DDH-0023,286,701.61014,12196.08,1159.3468,0,0.022054668
DDH-0023,287,701.53971,12200.819,1160.9416,0,0.023378281
DDH-0023,288,701.45499,12205.564,1162.5141,0,0.039805085
DDH-0023,289,701.356,12210.317,1164.0642,0,0.078391567
DDH-0023,290,698.47338,12277.516,1183.3904,1,0.26638024
DDH-0023,291,698.16082,12282.358,1184.5995,0,0.53075891
DDH-0023,292,697.83408,12287.204,1185.7856,0,0.47123362
DDH-0023,293,697.48694,12292.056,1186.9444,0,0.56011174
DDH-0023,294,697.08203,12296.915,1188.0505,1,0.46650136
DDH-0023,295,696.61324,12301.781,1189.0995,1,0.57539816
DDH-0023,296,696.08071,12306.653,1190.0909,1,0.55950663
DDH-0023,297,695.48459,12311.528,1191.0247,1,0.41173937
DDH-0023,298,694.82507,12316.406,1191.9003,0,0.44842001
DDH-0023,299,694.10233,12321.286,1192.7177,0,0.2617034
DDH-0023,300,693.3166,12326.165,1193.4765,0,0.15109693
DDH-0023,301,692.46809,12331.043,1194.1766,0,0.092827574
DDH-0023,302,691.55987,12335.917,1194.8203,0,0.05185422
DDH-0023,303,691.06026,12338.554,1195.1608,0,0.039212931
DDH-0024,304,1016.6739,12303.68,1120.9344,0,0.48306559
DDH-0024,305,1016.4434,12306.756,1116.9998,0,0.49703859
DDH-0024,306,1016.2103,12309.836,1113.0681,1,0.12628743
DDH-0025,307,1022.7762,12245.386,1040.1679,0,0.83832292
DDH-0025,308,1022.8208,12246.647,1035.3295,1,0.50710557
