DHID,FROM,TO,x,y,z,startx,starty,startz,endx,endy,endz,CU,ELEM_A,ELEM_B,ELEM_C,ELEM_D,DENSITY,GEOCODE
DDH-0002,160,165,942.5954559,12286.99566,1166.618371,942.6116978,12285.8483,1168.839475,942.5792922,12288.14319,1164.397359,,,,,,,C
DDH-0002,165,170,942.5632065,12289.29091,1162.176439,942.5792922,12288.14319,1164.397359,942.5471989,12290.4388,1159.95561,,,,,,,C
DDH-0002,170,175,942.5312694,12291.58688,1157.734872,942.5471989,12290.4388,1159.95561,942.5154181,12292.73513,1155.514226,,,,,,,C
DDH-0002,175,180,942.4996448,12293.88356,1153.293672,942.5154181,12292.73513,1155.514226,942.4839496,12295.03217,1151.073209,,,,,,,C
DDH-0002,180,185,942.4683324,12296.18095,1148.852838,942.4839496,12295.03217,1151.073209,942.4527934,12297.32992,1146.632559,2.800990909,3.188310606,135.5630152,3851.222121,3.454515152,3.947583333,C
DDH-0002,185,190,942.4373325,12298.47906,1144.412372,942.4527934,12297.32992,1146.632559,942.4219497,12299.62838,1142.192276,2.021066,3.346552,139.231804,1383.7932,3.58676,4.485874,OR1
DDH-0002,190,195,942.4066449,12300.77788,1139.972271,942.4219497,12299.62838,1142.192276,942.3913933,12301.9275,1137.75233,1.8457516,4.03038,185.397296,2006.997485,5.187612,4.383333333,OR1
DDH-0002,195,200,942.3761432,12303.07712,1135.53239,942.3913933,12301.9275,1137.75233,942.3608931,12304.22674,1133.31245,0.7870612,7.63943,268.963436,6864.693251,4.826536,4.281282,OR1
DDH-0002,200,205,942.345643,12305.37637,1131.09251,942.3608931,12304.22674,1133.31245,942.330393,12306.52599,1128.87257,0.9920122,3.16054,35.184206,1220.69362,7.514508,3.9426825,OR2
DDH-0002,205,210,942.3151429,12307.67561,1126.65263,942.330393,12306.52599,1128.87257,942.2998928,12308.82524,1124.43269,1.9767252,1.478053333,24.353395,185.79428,7.49856,3.847035,OR2
DDH-0002,210,215,942.2846427,12309.97486,1122.21275,942.2998928,12308.82524,1124.43269,942.2693927,12311.12448,1119.99281,2.293572,0.878796,24.382616,124.47244,3.326792,4.11105,OR2
DDH-0002,215,220,942.2541426,12312.27411,1117.77287,942.2693927,12311.12448,1119.99281,942.2388925,12313.42373,1115.55293,2.1159975,0.9683982301,24.034608,176.10472,1.524751092,4.398076,OR3
DDH-0002,220,225,942.2236424,12314.57336,1113.332991,942.2388925,12313.42373,1115.55293,942.2083923,12315.72298,1111.113051,2.9669066,0.777964,25.901986,181.60762,1.091983683,4.40441,OR3
DDH-0002,225,230,942.1931423,12316.8726,1108.893111,942.2083923,12315.72298,1111.113051,942.1778922,12318.02223,1106.673171,5.2295638,0.6350844444,32.737028,153.6416092,0.814078,4.329502,OR5
DDH-0002,230,235,942.1626421,12319.17185,1104.453231,942.1778922,12318.02223,1106.673171,942.147392,12320.32147,1102.233291,5.7361372,0.54606,12.0942,279.35466,0.704736,4.3964725,OR5
DDH-0002,235,240,942.132142,12321.4711,1100.013351,942.147392,12320.32147,1102.233291,942.1168919,12322.62072,1097.793411,5.2939266,0.272316,3.575466,163.76166,0.507116,4.506516,OR5
DDH-0002,240,242.59,942.1089923,12323.21622,1096.643482,942.1168919,12322.62072,1097.793411,942.1010928,12323.81173,1095.493553,4.288466795,0.4469266409,8.137140625,166.457529,0.6002471042,4.385942085,OR5
DDH-0003,0,5,943.4751717,12212.62274,1309.252985,943.482,12211.984,1311.67,943.4682937,12213.26097,1306.835834,,,,,,,B
DDH-0003,5,10,943.461366,12213.89868,1304.418546,943.4682937,12213.26097,1306.835834,943.4543885,12214.53587,1302.001123,,,,,,,B
DDH-0003,10,15,943.4473612,12215.17255,1299.583564,943.4543885,12214.53587,1302.001123,943.4402841,12215.80871,1297.165869,,,,,,,B
DDH-0003,15,20,943.4331574,12216.44436,1294.748039,943.4402841,12215.80871,1297.165869,943.4259808,12217.07949,1292.330073,,,,,,,B
DDH-0003,20,25,943.4187545,12217.7141,1289.911972,943.4259808,12217.07949,1292.330073,943.4114785,12218.3482,1287.493735,,,,,,,B
DDH-0003,25,30,943.4041527,12218.98178,1285.075363,943.4114785,12218.3482,1287.493735,943.3967771,12219.61484,1282.656856,,,,,,,B
DDH-0003,30,35,943.3893518,12220.24739,1280.238215,943.3967771,12219.61484,1282.656856,943.3818768,12220.87942,1277.819438,,,,,,,B
DDH-0003,35,40,943.374352,12221.51094,1275.400527,943.3818768,12220.87942,1277.819438,943.3667774,12222.14194,1272.981481,,,,,,,B
DDH-0003,40,45,943.3591531,12222.77242,1270.562301,943.3667774,12222.14194,1272.981481,943.3514791,12223.40238,1268.142986,,,,,,,D
DDH-0003,45,50,943.3437553,12224.03183,1265.723537,943.3514791,12223.40238,1268.142986,943.3359817,12224.66077,1263.303954,,,,,,,D
DDH-0003,50,55,943.3281584,12225.28918,1260.884236,943.3359817,12224.66077,1263.303954,943.3202853,12225.91708,1258.464385,,,,,,,D
DDH-0003,55,60,943.3123625,12226.54447,1256.0444,943.3202853,12225.91708,1258.464385,943.30439,12227.17133,1253.624281,,,,,,,D
DDH-0003,60,65,943.2963677,12227.79768,1251.204029,943.30439,12227.17133,1253.624281,943.2882956,12228.42352,1248.783643,,,,,,,D
DDH-0003,65,70,943.2801738,12229.04883,1246.363124,943.2882956,12228.42352,1248.783643,943.2720023,12229.67363,1243.942471,,,,,,,D
DDH-0003,70,75,943.263781,12230.29791,1241.521686,943.2720023,12229.67363,1243.942471,943.25551,12230.92168,1239.100767,,,,,,,D
DDH-0003,75,80,943.2471892,12231.54493,1236.679715,943.25551,12230.92168,1239.100767,943.2388187,12232.16766,1234.258531,,,,,,,
DDH-0003,80,85,943.2303984,12232.78988,1231.837214,943.2388187,12232.16766,1234.258531,943.2219284,12233.41158,1229.415764,,,,,,,
DDH-0003,85,90,943.2134086,12234.03276,1226.994181,943.2219284,12233.41158,1229.415764,943.2048391,12234.65342,1224.572467,,,,,,,
DDH-0003,90,95,943.1962199,12235.27357,1222.15062,943.2048391,12234.65342,1224.572467,943.1875509,12235.8932,1219.728641,,,,,,,
DDH-0003,95,100,943.1788322,12236.51231,1217.30653,943.1875509,12235.8932,1219.728641,943.1700637,12237.13091,1214.884286,,,,,,,
DDH-0003,100,105,943.1612455,12237.74899,1212.461911,943.1700637,12237.13091,1214.884286,943.1523775,12238.36655,1210.039405,,,,,,,
DDH-0003,105,110,943.1434598,12238.9836,1207.616767,943.1523775,12238.36655,1210.039405,943.1344924,12239.60012,1205.193997,,,,,,,
DDH-0003,110,115,943.1254752,12240.21613,1202.771096,943.1344924,12239.60012,1205.193997,943.1164083,12240.83163,1200.348063,,,,,,,
DDH-0003,115,120,943.1072917,12241.4466,1197.9249,943.1164083,12240.83163,1200.348063,943.0981253,12242.06106,1195.501605,,,,,,,
DDH-0003,120,125,943.0889091,12242.675,1193.07818,943.0981253,12242.06106,1195.501605,943.0796433,12243.28843,1190.654623,,,,,,,D
DDH-0003,125,130,943.0703276,12243.90133,1188.230936,943.0796433,12243.28843,1190.654623,943.0609623,12244.51372,1185.807118,,,,,,,D
DDH-0003,130,135,943.0515472,12245.12559,1183.38317,943.0609623,12244.51372,1185.807118,943.0420824,12245.73695,1180.959092,,,,,,,D
DDH-0003,135,140,943.0325678,12246.34778,1178.534883,943.0420824,12245.73695,1180.959092,943.0230036,12246.9581,1176.110544,,,,,,,C
DDH-0003,140,145,943.0133895,12247.5679,1173.686075,943.0230036,12246.9581,1176.110544,943.0037258,12248.17719,1171.261476,,,,,,,C
DDH-0003,145,150,942.9940123,12248.78595,1168.836747,943.0037258,12248.17719,1171.261476,942.9842491,12249.3942,1166.411889,,,,,,,C
DDH-0003,150,155,942.9744361,12250.00193,1163.9869,942.9842491,12249.3942,1166.411889,942.9645856,12250.61082,1161.562203,,,,,,,C
DDH-0003,155,160,942.954748,12251.22774,1159.13954,942.9645856,12250.61082,1161.562203,942.9449288,12251.85345,1156.719128,,,,,,,C
DDH-0003,160,165,942.9351282,12252.48792,1154.300999,942.9449288,12251.85345,1156.719128,942.9253462,12253.13114,1151.885186,,,,,,,C
DDH-0003,165,170,942.915583,12253.78312,1149.471719,942.9253462,12253.13114,1151.885186,942.9058387,12254.44384,1147.060631,,,,,,,C
