dhid,from,to,x,y,z,xstart,ystart,zstart,xend,yend,zend,zone,var
239.0,134.76,135.14,542.625876000151,520.6592840000521,221.72861599999942,542.6295840013772,520.6224380001659,222.10680799999955,542.6221680007875,520.6961320001865,221.35042599999952,2.0,2.09775
239.0,135.14,136.0,542.6137520000339,520.7795020000776,220.49451799999997,542.6221780013293,520.696140000131,221.35042599999952,542.605326000601,520.8628660000395,219.63860799999975,2.0,1.2792
239.0,136.0,136.55,542.5998960006982,520.9161700000986,219.09122400000024,542.605328001082,520.8628440001048,219.63860599999998,542.5944640021771,520.9694960000925,218.54384200000004,2.0,0.98715
240.0,135.0,136.0,544.0012660007924,497.3205700000981,219.2145799999994,543.996352000162,497.2955700000748,220.2142560000002,544.0061799995601,497.34557000012137,218.21490399999993,1.0,1.69064
240.0,136.0,137.05,544.0115380007774,497.3717140001245,217.16524399999935,544.0060700010508,497.3456600001082,218.21490600000016,544.0170060005039,497.39776800002437,216.11557999999968,1.0,0.55468
240.0,137.05,138.0,544.0224320013076,497.4210000000894,215.16587999999956,544.0170300006866,497.3977500000037,216.11557999999968,544.0278320014477,497.44424800015986,214.21617999999944,1.0,0.54768
240.0,138.0,139.0,544.0339700002223,497.4683980002301,213.21649200000002,544.027820000425,497.4442580000032,214.21618199999966,544.0401200018823,497.49253800010774,212.21680199999946,1.0,0.36091999999999996
240.0,139.0,139.75,544.0450980011374,497.5103820002405,211.46702999999934,544.0401719994843,497.49250200006645,212.21680199999946,544.0500220004469,497.52826400019694,210.7172599999999,1.0,0.6344799999999999
423.0,108.95,110.0,526.0667320005596,645.7101560002193,334.4097439999996,526.1646420005709,644.9918100000359,335.1692799999996,525.96882000193,646.4285000000382,333.65020799999957,2.0,0.61488
423.0,110.0,110.9,525.8850760012865,647.0439760000445,332.99891999999954,525.9688340015709,646.4284820002504,333.65018999999984,525.8013180010021,647.6594700000715,332.34765199999947,2.0,0.19865999999999998
425.0,126.7,127.0,526.4439080003649,581.2141820001416,253.20908999999983,526.4696939997375,581.1186300001573,253.49229399999967,526.4181219991297,581.3097320002271,252.92588599999954,2.0,1.4935200000000002
425.0,127.0,128.08,526.3255219999701,581.6539020000491,251.90638999999965,526.4179940000176,581.3096300001489,252.9258619999996,526.2330520004034,581.998176000081,250.88691599999947,2.0,1.7644199999999999
425.0,128.08,128.61,526.1878620013595,582.1672460001428,250.38664199999994,526.2332200016826,581.9983320002211,250.88695199999938,526.1425020005554,582.3361620000796,249.88633200000004,2.0,1.3805399999999999
426.0,128.3,129.0,529.6533040013164,546.737354000099,239.055206,529.6933079995215,546.6058280001162,239.74157400000013,529.6132999993861,546.8688800001983,238.36883999999964,2.0,0.06
426.0,129.0,130.0,529.556510001421,547.0572060002014,237.38837599999943,529.6132360007614,546.8688040000852,238.36882800000012,529.499781999737,547.245606000186,236.4079240000001,2.0,0.08805
426.0,130.0,131.0,529.443548001349,547.4346000000369,235.4275579999994,529.499781999737,547.2456040001707,236.4079240000001,529.3873159997165,547.6235940001206,234.44718999999986,2.0,0.15735
