dh,from,to,Au,Cu,Au:shell,Cu:shell,x,startx,endx,y,starty,endy,z,startz,endz
10,30.0,40.0,0.31213,64.0,0,0,19880.04743,19881.49856,19878.59999,18862.00539,18861.05257,18862.95726,210.7184,215.40736,206.02811
10,40.0,50.0,0.20813,42.0001,0,0,19877.15594,19878.59999,19875.71503,18863.90824,18862.95726,18864.85838,201.33659,206.02811,196.64393
10,50.0,60.0,0.19513,41.0,0,0,19874.27415,19875.71503,19872.8302,18865.80809,18864.85838,18866.75775,191.95118,196.64393,187.25937
10,60.0,70.0,0.27313,51.0,0,0,19871.3844,19872.8302,19869.93795,18867.70695,18866.75775,18868.65523,182.56802,187.25937,177.8767
10,70.0,80.0,0.8969999999999999,82.0,1,0,19868.49275,19869.93795,19867.05069,18869.60287,18868.65523,18870.55017,173.18486,177.8767,168.49198
10,80.0,90.0,0.5720000000000001,50.0,1,0,19865.60968,19867.05069,19864.16761,18871.49741,18870.55017,18872.4449,163.79877,168.49198,159.10593
10,90.0,100.0,0.29913,34.0001,1,0,19862.72496,19864.16761,19861.2822,18873.39221,18872.4449,18874.33892,154.41324,159.10593,149.72046
10,100.0,110.0,1.937,71.0,1,0,19859.84106,19861.2822,19858.40323,18875.28458,18874.33892,18876.22872,145.02697,149.72046,140.33216
10,110.0,120.0,9.32815,112.0,1,0,19856.96868,19858.40323,19855.53737,18877.17154,18876.22872,18878.11324,135.63608,140.33216,130.93879
10,120.0,130.0,2.50913,147.0,1,0,19854.10797,19855.53737,19852.67916,18879.05457,18878.11324,18879.99628,126.24085,130.93879,121.54279
10,130.0,140.0,0.286,77.0001,1,0,19851.25065,19852.67916,19849.82214,18880.93817,18879.99628,18881.88006,116.84469,121.54279,112.14658
11,0.0,10.0,0.09113,46.0001,0,0,19893.99105,19891.195,19896.78566,18852.61401,18853.326,18851.89997,239.80248,243.886,235.71832
11,10.0,20.0,0.10101,53.0001,0,0,19899.57825,19896.78566,19902.36822,18851.18427,18851.89997,18850.46729,231.63308,235.71832,227.54627
11,20.0,30.0,0.80613,103.0001,0,0,19905.15713,19902.36822,19907.94651,18849.75017,18850.46729,18849.03404,223.45876,227.54627,219.3714
11,30.0,40.0,0.80613,103.0001,0,0,19910.73846,19907.94651,19913.53506,18848.31946,18849.03404,18847.60695,215.28553,219.3714,211.20247
11,40.0,50.0,0.351,43.0001,0,0,19916.33439,19913.53506,19919.13451,18846.89612,18847.60695,18846.18654,207.12099,211.20247,203.03983
11,50.0,60.0,0.26,44.0,1,0,19921.93453,19919.13451,19924.73356,18845.47795,18846.18654,18844.77007,198.95844,203.03983,194.87624
11,60.0,70.0,0.325,36.0001,1,0,19927.53298,19924.73356,19930.33418,18844.06332,18844.77007,18843.3581,190.79412,194.87624,186.71295
11,70.0,80.0,0.286,51.0,0,0,19933.13709,19930.33418,19935.94163,18842.65367,18843.3581,18841.9493,182.63282,186.71295,178.55379
11,80.0,90.0,0.949,85.0001,0,0,19938.74742,19935.94163,19941.55411,18841.24534,18841.9493,18840.54214,174.47556,178.55379,170.39782
11,90.0,100.0,0.676,114.0,0,0,19944.36298,19941.55411,19947.17534,18839.83897,18840.54214,18839.13509,166.32157,170.39782,162.24785
11,100.0,110.0,2.457,135.0001,0,0,19949.99216,19947.17534,19952.81439,18838.43026,18839.13509,18837.72425,158.17738,162.24785,154.11086
11,110.0,120.0,0.67613,101.0001,0,0,19955.63899,19952.81439,19958.46292,18837.01815,18837.72425,18836.31304,150.046,154.11086,145.98051
11,120.0,130.0,0.4679999999999999,115.0001,0,1,19961.28511,19958.46292,19964.10448,18835.60826,18836.31304,18834.9032,141.91375,145.98051,137.84509
11,130.0,140.0,0.5980000000000001,89.0,0,1,19966.92288,19964.10448,19969.74216,18834.19747,18834.9032,18833.49072,133.77587,137.84509,129.70743
11,140.0,150.0,0.55913,157.0,0,1,19972.56295,19969.74216,19975.38589,18832.78408,18833.49072,18832.07871,125.64002,129.70743,121.57388
11,150.0,160.0,0.8971300000000001,352.0001,0,1,19978.21029,19975.38589,19981.03549,18831.37469,18832.07871,18830.6721,117.50853,121.57388,113.44348
11,160.0,170.0,0.81913,107.0001,0,1,19983.86109,19981.03549,19986.68669,18829.97022,18830.6721,18829.26833,109.37859,113.44348,105.3137
12,0.0,10.0,0.09113,46.0001,0,0,19892.75187,19892.755,19892.74847,18855.54393,18854.629,18856.46207,238.31342,243.229,233.39845
12,10.0,20.0,0.10101,53.0001,0,0,19892.74524,19892.74847,19892.74261,18857.3833,18856.46207,18858.30749,228.48405,233.39845,223.5702
12,20.0,30.0,0.078,51.0,0,0,19892.74074,19892.74261,19892.73979,18859.23087,18858.30749,18860.14966,218.6562,223.5702,213.74135
12,30.0,40.0,0.611,91.0,0,0,19892.73904,19892.73979,19892.7378,18861.06523,18860.14966,18861.97896,208.82589,213.74135,203.91009
12,40.0,50.0,0.8971300000000001,70.0,0,0,19892.73613,19892.7378,19892.7341,18862.89323,18861.97896,18863.81041,198.99439,203.91009,194.07923
12,50.0,60.0,1.651,97.0,1,0,19892.73198,19892.7341,19892.73001,18864.7292,18863.81041,18865.64829,189.16437,194.07923,184.24957
12,60.0,70.0,4.91413,109.0001,1,0,19892.7278,19892.73001,19892.72493,18866.56645,18865.64829,18867.48248,179.3346,184.24957,174.41923
12,70.0,80.0,2.7561299999999997,133.0001,1,0,19892.72141,19892.72493,19892.71726,18868.39581,18867.48248,18869.30593,169.50335,174.41923,164.58688
12,80.0,90.0,0.8840000000000001,53.0,1,0,19892.71294,19892.71726,19892.70891,18870.21484,18869.30593,18871.12458,159.67019,164.58688,154.75365
12,90.0,100.0,0.195,22.0,1,0,19892.70539,19892.70891,19892.70256,18872.03364,18871.12458,18872.94057,149.83699,154.75365,144.91993
12,100.0,110.0,0.143,23.0001,0,0,19892.70028,19892.70256,19892.69843,18873.844,18872.94057,18874.74258,140.00222,144.91993,135.08363
12,110.0,120.0,1.17013,58.0,0,0,19892.69679,19892.69843,19892.69514,18875.63914,18874.74258,18876.53652,130.16467,135.08363,125.24586
12,120.0,130.0,1.534,72.0001,0,0,19892.69347,19892.69514,19892.69175,18877.43498,18876.53652,18878.33476,120.32724,125.24586,115.40887
12,130.0,140.0,0.59566,49.0001,0,0,19892.69001,19892.69175,19892.68827,18879.23521,18878.33476,18880.13565,110.49062,115.40887,105.57237
13,0.0,10.0,0.02613,66.0,0,0,19997.02978,19994.227,19999.83146,18572.24554,18571.486,18573.00476,269.16168,273.232,265.09054
13,10.0,20.0,0.013,86.0,0,0,20002.63406,19999.83146,20005.43956,18573.76273,18573.00476,18574.51851,261.0198,265.09054,256.95065
13,20.0,30.0,0.078,98.0001,0,0,20008.24766,20005.43956,20011.05803,18575.27196,18574.51851,18576.02293,252.88286,256.95065,248.81619
13,30.0,40.0,0.078,98.0001,0,0,20013.86866,20011.05803,20016.67749,18576.77339,18576.02293,18577.52534,244.7496,248.81619,240.68203
13,40.0,50.0,0.039,66.0,0,0,20019.48425,20016.67749,20022.28869,18578.27937,18577.52534,18579.03605,236.61343,240.68203,232.54372
