x,y,z,Au:shell,Cu:shell
19796.4077,18723.1172,268.7000,0,0
19799.8279,18713.7202,268.7000,0,0
19803.2481,18704.3233,268.7000,0,0
19806.6683,18694.9264,268.7000,0,0
19802.3844,18735.9343,268.7000,0,0
19805.8046,18726.5374,268.7000,0,0
19809.2248,18717.1404,268.7000,0,0
19812.6450,18707.7435,268.7000,0,0
19816.0652,18698.3466,268.7000,0,0
19819.4854,18688.9497,268.7000,0,0
19811.7813,18739.3545,268.7000,0,0
19815.2015,18729.9576,268.7000,0,0
19818.6217,18720.5606,268.7000,0,0
19822.0419,18711.1637,268.7000,0,0
19825.4621,18701.7668,268.7000,0,0
19828.8823,18692.3699,268.7000,0,0
19821.1783,18742.7747,268.7000,0,0
19824.5985,18733.3778,268.7000,0,0
19828.0187,18723.9808,268.7000,0,0
19831.4389,18714.5839,268.7000,0,0
19834.8591,18705.1870,268.7000,0,0
19838.2793,18695.7901,268.7000,0,0
19833.9954,18736.7980,268.7000,0,0
19837.4156,18727.4010,268.7000,0,0
19840.8358,18718.0041,268.7000,0,0
19844.2560,18708.6072,268.7000,0,0
19796.4077,18723.1172,278.7000,0,0
19799.8279,18713.7202,278.7000,0,0
19803.2481,18704.3233,278.7000,0,0
19806.6683,18694.9264,278.7000,0,0
19802.3844,18735.9343,278.7000,0,0
19805.8046,18726.5374,278.7000,0,0
19809.2248,18717.1404,278.7000,0,0
19812.6450,18707.7435,278.7000,0,0
19816.0652,18698.3466,278.7000,0,0
19811.7813,18739.3545,278.7000,0,0
19815.2015,18729.9576,278.7000,0,0
19818.6217,18720.5606,278.7000,0,0
19822.0419,18711.1637,278.7000,0,0
19825.4621,18701.7668,278.7000,0,0
19828.8823,18692.3699,278.7000,0,0
19821.1783,18742.7747,278.7000,0,0
19824.5985,18733.3778,278.7000,0,0
19828.0187,18723.9808,278.7000,0,0
19831.4389,18714.5839,278.7000,0,0
19834.8591,18705.1870,278.7000,0,0
19833.9954,18736.7980,278.7000,0,0
19837.4156,18727.4010,278.7000,0,0
19840.8358,18718.0041,278.7000,0,0
19844.2560,18708.6072,278.7000,0,0
19796.4077,18723.1172,288.7000,0,0
19799.8279,18713.7202,288.7000,0,0
19803.2481,18704.3233,288.7000,0,0
19805.8046,18726.5374,288.7000,0,0
19809.2248,18717.1404,288.7000,0,0
19812.6450,18707.7435,288.7000,0,0
19816.0652,18698.3466,288.7000,0,0
19811.7813,18739.3545,288.7000,0,0
19815.2015,18729.9576,288.7000,0,0
19818.6217,18720.5606,288.7000,0,0
19822.0419,18711.1637,288.7000,0,0
19825.4621,18701.7668,288.7000,0,0
19824.5985,18733.3778,288.7000,0,0
19828.0187,18723.9808,288.7000,0,0
19831.4389,18714.5839,288.7000,0,0
19834.8591,18705.1870,288.7000,0,0
19833.9954,18736.7980,288.7000,0,0
19837.4156,18727.4010,288.7000,0,0
19840.8358,18718.0041,288.7000,0,0
19809.2248,18717.1404,298.7000,0,0
19818.6217,18720.5606,298.7000,0,0
19822.0419,18711.1637,298.7000,0,0
19828.0187,18723.9808,298.7000,0,0
20118.5632,18510.4771,248.7000,0,0
20121.9834,18501.0802,248.7000,0,0
20125.4036,18491.6832,248.7000,0,0
20127.9602,18513.8973,248.7000,0,0
20131.3804,18504.5004,248.7000,0,0
20134.8006,18495.1034,248.7000,0,0
20137.3571,18517.3175,248.7000,0,0
