bhid,x,y,z,Au
218707.0,20137.12048,18726.75841,0.0,0.05
218815.0,20092.88805,18669.53417,0.0,0.68
218914.0,20112.98299,18648.68483,0.0,0.1
219189.0,20084.40845,18659.96231,0.0,2.36
218827.0,20074.45196,18643.86237,0.0,0.19
218830.0,20026.39317,18648.01417,0.0,1.92
218819.0,20151.57208,18660.86207,0.0,1.2
218811.0,20157.5785,18670.78401,0.0,0.21
218820.0,20144.79953,18650.1717,0.0,0.01
218757.0,20043.773999999998,19006.325930000006,0.0,0.24
218762.0,20058.01448,18705.3278,0.0,0.17
218763.0,19849.80329,18904.73999,0.0,0.12
218946.0,20130.24613,18738.20241,0.0,0.09
218794.0,20047.83714,18968.0199,0.0,1.21
218866.0,20138.53469,18631.989530000006,0.0,0.24
218890.0,20159.71033,18662.15558,0.0,0.14
218886.0,20152.9323,18652.08672,0.0,0.23
219187.0,20083.59247,18666.84368,0.0,1.1
218883.0,20165.706680000007,18672.48805,0.0,0.3
218962.0,20090.96061,18677.59181,0.0,0.09
218968.0,19870.36877,18848.34016,0.0,0.08
218975.0,20076.49957,18657.78487,0.0,0.35
218829.0,19937.2325,18697.87219,0.0,0.19
218964.0,20044.68379,18664.37881,0.0,0.03
218838.0,20057.27206,18619.334,0.0,0.1
218854.0,19877.2074,18914.98681,0.0,0.47
219064.0,20132.63027,18686.93781,0.0,0.81
219046.0,20122.90884,18671.35265,0.0,0.06
219070.0,20112.74348,18656.07594,0.0,0.1
218850.0,20216.77646,18631.92904,0.0,0.12
218931.0,20204.37932,18624.3466,0.0,0.1
219067.0,20138.78781,18696.63212,0.0,0.27
218934.0,20197.70262,18615.60321,0.0,0.09
218861.0,20206.64232,18616.14507,0.0,0.07
218938.0,20151.61951,18638.97648,0.0,0.08
218942.0,20168.1662,18664.315,0.0,0.13
218941.0,20161.46222,18654.13922,0.0,0.11
218896.0,20102.54395,18630.85026,0.0,2.14
219160.0,19855.06363,18857.77504,0.0,0.08
219006.0,19826.71523,18913.342780000006,0.0,0.08
219091.0,20105.14148,18646.464180000006,0.0,0.11
218995.0,20151.86533,18630.7613,0.0,0.2
219135.0,19856.06685,18893.93726,0.0,0.12
218933.0,20214.09352,18640.49495,0.0,0.14
219036.0,20196.26441,18623.14507,0.0,0.08
219030.0,20190.93724,18613.72637,0.0,0.08
218998.0,20158.95448,18640.49992,0.0,0.01
219041.0,20122.2427,18736.19256,0.0,0.11
219015.0,20032.78899,18636.63936,0.0,0.26
218969.0,19860.17839,18877.27709,0.0,0.08
219184.0,20074.99976,18666.13871,0.0,0.22
218979.0,20054.92338,18679.3821,0.0,0.11
218980.0,20073.00195,18652.84979,0.0,0.48
219120.0,20047.41221,18625.2887,0.0,0.02
219056.0,20161.17217,18632.50572,0.0,0.02
219053.0,20167.31782,18643.18216,0.0,0.02
219133.0,20038.53148,18632.36249,0.0,0.09
219137.0,20055.06746,18657.05424,0.0,0.34
219074.0,20189.03597,18620.93532,0.0,0.03
219095.0,20178.65067,18606.16809,0.0,0.13
219038.0,20183.04499,18602.95783,0.0,0.08
219105.0,20168.65552,18635.20562,0.0,0.02
219161.0,20084.0794,18689.26601,0.0,0.13
219088.0,20195.23315,18631.21031,0.0,0.01
219063.0,20082.85265,18675.53015,0.0,1.34
219075.0,20045.101000000002,18942.86861,0.0,0.39
219113.0,20061.19363,18646.01874,0.0,0.25
219165.0,20066.61821,18664.16932,0.0,0.19
219157.0,19839.35417,18911.99957,0.0,0.09
219130.0,20186.93105,18629.14243,0.0,0.07
219148.0,20170.53216,18625.7901,0.0,0.07
219192.0,20072.68798,18674.43094,0.0,1.5
