bhid,x,y,z,Au
218718.0,20110.47726,18685.86136,0.0,0.37
218522.0,19994.16267,18739.03845,0.0,1.28
218188.0,20035.91661,18771.2908,0.0,0.62
219028.0,19948.11606,18867.83741,0.0,0.71
218389.0,20033.83807,18758.1725,0.0,0.95
218169.0,20034.03183,18891.77001,0.0,0.21
218552.0,19965.51815,18709.4195,0.0,0.09
219021.0,20036.76916,18641.12236,0.0,0.12
219131.0,20048.07744,18647.35901,0.0,0.09
218185.0,19991.91445,18926.21943,0.0,0.53
218250.0,20018.96958,18668.66418,0.0,0.21
218203.0,19853.06908,18944.5971,0.0,0.17
218382.0,19850.40883,18840.343,0.0,0.14
218484.0,20043.50185,18695.29905,0.0,0.19
218231.0,19952.73386,18765.49978,0.0,0.08
218235.0,19905.66385,18870.521,0.0,0.25
218265.0,19979.22061,18905.813980000006,0.0,0.22
218288.0,20005.09183,18691.94394,0.0,0.13
218531.0,20036.75769,18686.13544,0.0,0.0001
218905.0,19866.77859,18865.33149,0.0,0.07
218808.0,19869.12672,18857.33683,0.0,0.07
218716.0,19869.69453,18870.67525,0.0,0.32
218871.0,20047.38039,18912.02892,0.0,0.5
218588.0,19987.01906,18675.34453,0.0,0.21
218307.0,20031.84495,18667.13371,0.0,1.21
218516.0,20102.95531,18610.34754,0.0,0.76
218683.0,20113.08946,18625.03816,0.0,2.55
218517.0,20096.38304,18600.09919,0.0,0.13
218751.0,20025.37427,18656.32106,0.0,2.38
218540.0,20161.90195,18602.82618,0.0,0.05
218545.0,20168.56071,18612.57935,0.0,0.03
218771.0,19847.70011,18913.0054,0.0,0.95
218367.0,19848.92907,18848.50572,0.0,0.04
218723.0,19856.93534,18850.66824,0.0,0.06
218592.0,19993.37697,18684.85092,0.0,0.03
219149.0,20167.32387,18620.65759,0.0,0.05
218340.0,19911.45435,18935.40354,0.0,0.28
218349.0,19841.75901,18838.01086,0.0,0.14
218359.0,19944.44302,18763.57918,0.0,0.05
