dh,from,to,Au,Cu,Au:shell,Cu:shell
5,70.0,80.0,0.66313,77.0001,0,0
5,80.0,90.0,0.13,40.0,0,0
5,90.0,100.0,0.23413,25.0001,0,0
5,100.0,110.0,0.13013,66.0001,0,0
5,110.0,120.0,0.065,71.0,0,0
5,120.0,130.0,0.06513,36.0,0,0
5,130.0,140.0,0.104,35.0001,0,0
6,0.0,10.0,0.039,39.0001,0,0
6,10.0,20.0,0.2339999999999999,43.0001,0,0
6,20.0,30.0,0.42913,92.0,0,0
6,30.0,40.0,0.39013,95.0001,0,0
6,40.0,50.0,0.71513,80.0,1,0
6,50.0,60.0,0.97513,96.0,1,0
6,60.0,70.0,0.507,50.0,0,0
6,70.0,80.0,0.79313,208.0001,1,0
6,80.0,90.0,0.8190000000000001,87.0,1,1
6,90.0,100.0,0.24713,52.0,0,1
6,100.0,110.0,0.15613,60.0,0,1
6,110.0,120.0,0.8450000000000001,107.0,0,1
6,120.0,130.0,0.286,102.0,0,1
6,130.0,140.0,0.221,67.0001,0,0
7,0.0,10.0,0.09113,45.0001,0,0
7,10.0,20.0,0.01313,34.0001,0,0
7,20.0,30.0,0.052,62.0001,0,0
7,30.0,40.0,0.442,169.0001,0,0
8,0.0,10.0,0.28613,33.0001,0,0
8,10.0,20.0,0.8971300000000001,28.0001,0,0
8,20.0,30.0,0.52,42.0001,1,0
8,30.0,40.0,1.07913,89.0001,1,0
8,40.0,50.0,1.235,110.0,1,0
8,50.0,60.0,0.33813,54.0,0,0
8,60.0,70.0,0.03913,42.0001,0,0
8,70.0,80.0,0.03913,25.0001,0,0
8,80.0,90.0,0.156,51.0,0,0
8,90.0,100.0,0.36413,96.0001,0,0
8,100.0,110.0,0.169,75.0001,0,0
8,110.0,120.0,0.247,27.0001,0,0
8,120.0,130.0,0.07813,43.0,0,0
8,130.0,140.0,0.07813,43.0,0,0
8,140.0,150.0,0.02613,50.0001,0,0
8,150.0,160.0,0.286,113.0,0,0
8,160.0,170.0,0.065,65.0,0,0
9,0.0,10.0,0.026,56.0001,0,0
9,10.0,20.0,0.026,56.0001,0,0
9,20.0,30.0,0.06513,100.0001,0,0
9,30.0,40.0,0.052,122.0001,0,0
9,40.0,50.0,0.013,63.0,0,0
9,50.0,60.0,0.02613,67.0,0,0
9,60.0,70.0,0.078,71.0001,0,0
9,70.0,80.0,0.10413,48.0,0,0
9,80.0,90.0,0.09113,51.0001,0,0
9,90.0,100.0,0.06513,64.0001,0,0
9,100.0,110.0,0.07813,41.0,0,0
9,110.0,120.0,0.07813,41.0,0,0
9,120.0,130.0,,,-2147483648,-2147483648
9,130.0,140.0,0.403,69.0001,0,0
10,0.0,10.0,0.09113,44.0,0,0
10,10.0,20.0,0.03913,60.0001,0,0
10,20.0,30.0,0.06513,35.0,0,0
10,30.0,40.0,0.31213,64.0,0,0
10,40.0,50.0,0.20813,42.0001,0,0
10,50.0,60.0,0.19513,41.0,0,0
10,60.0,70.0,0.27313,51.0,0,0
10,70.0,80.0,0.8969999999999999,82.0,1,0
10,80.0,90.0,0.5720000000000001,50.0,1,0
10,90.0,100.0,0.29913,34.0001,1,0
10,100.0,110.0,1.937,71.0,1,0
10,110.0,120.0,9.32815,112.0,1,0
10,120.0,130.0,2.50913,147.0,1,0
10,130.0,140.0,0.286,77.0001,1,0
11,0.0,10.0,0.09113,46.0001,0,0
11,10.0,20.0,0.10101,53.0001,0,0
11,20.0,30.0,0.80613,103.0001,0,0
11,30.0,40.0,0.80613,103.0001,0,0
11,40.0,50.0,0.351,43.0001,0,0
11,50.0,60.0,0.26,44.0,1,0
11,60.0,70.0,0.325,36.0001,1,0
11,70.0,80.0,0.286,51.0,0,0
11,80.0,90.0,0.949,85.0001,0,0
11,90.0,100.0,0.676,114.0,0,0
11,100.0,110.0,2.457,135.0001,0,0
11,110.0,120.0,0.67613,101.0001,0,0
11,120.0,130.0,0.4679999999999999,115.0001,0,1
11,130.0,140.0,0.5980000000000001,89.0,0,1
11,140.0,150.0,0.55913,157.0,0,1
